beneficiaire_action_menee;action_representation_interet_id;action_menee_en_propre
ORDRE NATIONAL DES MEDECINS;313;1
ORDRE NATIONAL DES MEDECINS;314;1
ORDRE NATIONAL DES MEDECINS;315;1
ORDRE NATIONAL DES MEDECINS;316;1
ORDRE NATIONAL DES MEDECINS;317;1
ORDRE NATIONAL DES MEDECINS;318;1
ORDRE NATIONAL DES MEDECINS;319;1
ORDRE NATIONAL DES MEDECINS;320;1
ORDRE NATIONAL DES MEDECINS;321;1
ORDRE NATIONAL DES MEDECINS;322;1
ORDRE NATIONAL DES MEDECINS;323;1
ORDRE NATIONAL DES MEDECINS;324;1
SCHNEIDER ELECTRIC FRANCE;325;0
SCHNEIDER ELECTRIC INDUSTRIES SAS;325;1
SCHNEIDER ELECTRIC FRANCE;326;0
SCHNEIDER ELECTRIC INDUSTRIES SAS;326;1
SCHNEIDER ELECTRIC FRANCE;327;0
SCHNEIDER ELECTRIC INDUSTRIES SAS;327;1
SCHNEIDER ELECTRIC FRANCE;328;0
SCHNEIDER ELECTRIC INDUSTRIES SAS;328;1
SCHNEIDER ELECTRIC FRANCE;329;0
SCHNEIDER ELECTRIC INDUSTRIES SAS;329;1
SCHNEIDER ELECTRIC FRANCE;330;0
SCHNEIDER ELECTRIC INDUSTRIES SAS;330;1
SCHNEIDER ELECTRIC FRANCE;331;0
SCHNEIDER ELECTRIC INDUSTRIES SAS;331;1
SCHNEIDER ELECTRIC FRANCE;332;0
SCHNEIDER ELECTRIC INDUSTRIES SAS;332;1
SCHNEIDER ELECTRIC FRANCE;333;0
SCHNEIDER ELECTRIC INDUSTRIES SAS;333;1
SCHNEIDER ELECTRIC FRANCE;334;0
SCHNEIDER ELECTRIC INDUSTRIES SAS;334;1
SCHNEIDER ELECTRIC FRANCE;335;0
SCHNEIDER ELECTRIC INDUSTRIES SAS;335;1
SCHNEIDER ELECTRIC FRANCE;336;0
SCHNEIDER ELECTRIC INDUSTRIES SAS;336;1
SCHNEIDER ELECTRIC FRANCE;337;0
SCHNEIDER ELECTRIC INDUSTRIES SAS;337;1
SCHNEIDER ELECTRIC FRANCE;338;0
SCHNEIDER ELECTRIC INDUSTRIES SAS;338;1
SCHNEIDER ELECTRIC FRANCE;339;0
SCHNEIDER ELECTRIC INDUSTRIES SAS;339;1
SCHNEIDER ELECTRIC FRANCE;340;0
SCHNEIDER ELECTRIC INDUSTRIES SAS;340;1
SCHNEIDER ELECTRIC INDUSTRIES SAS;341;1
UNION INDUS PROTECT PLANT UIPP;342;1
UNION INDUS PROTECT PLANT UIPP;343;1
UNION INDUS PROTECT PLANT UIPP;344;1
UNION INDUS PROTECT PLANT UIPP;345;1
UNION INDUS PROTECT PLANT UIPP;346;1
UNION INDUS PROTECT PLANT UIPP;347;1
UNION INDUS PROTECT PLANT UIPP;348;1
UNION INDUS PROTECT PLANT UIPP;349;1
UNION INDUS PROTECT PLANT UIPP;350;1
UNION INDUS PROTECT PLANT UIPP;351;1
UNION INDUS PROTECT PLANT UIPP;352;1
UNION INDUS PROTECT PLANT UIPP;353;1
UNION INDUS PROTECT PLANT UIPP;354;1
UNION INDUS PROTECT PLANT UIPP;355;1
UNION INDUS PROTECT PLANT UIPP;356;1
UNION INDUS PROTECT PLANT UIPP;357;1
UNION INDUS PROTECT PLANT UIPP;358;1
UNION INDUS PROTECT PLANT UIPP;359;1
UNION INDUS PROTECT PLANT UIPP;360;1
UNION INDUS PROTECT PLANT UIPP;361;1
UNION INDUS PROTECT PLANT UIPP;362;1
UNION INDUS PROTECT PLANT UIPP;363;1
UNION INDUS PROTECT PLANT UIPP;364;1
UNION INDUS PROTECT PLANT UIPP;365;1
UNION INDUS PROTECT PLANT UIPP;366;1
UNION INDUS PROTECT PLANT UIPP;367;1
UNION INDUS PROTECT PLANT UIPP;368;1
UNION INDUS PROTECT PLANT UIPP;369;1
UNION INDUS PROTECT PLANT UIPP;370;1
SOC AUTEUR COMPOSITEUR EDITEUR MUSIQUE;371;1
SOC AUTEUR COMPOSITEUR EDITEUR MUSIQUE;372;1
SOC AUTEUR COMPOSITEUR EDITEUR MUSIQUE;373;1
SOC AUTEUR COMPOSITEUR EDITEUR MUSIQUE;374;1
SOC AUTEUR COMPOSITEUR EDITEUR MUSIQUE;375;1
SOC AUTEUR COMPOSITEUR EDITEUR MUSIQUE;376;1
SOC AUTEUR COMPOSITEUR EDITEUR MUSIQUE;377;1
SOC AUTEUR COMPOSITEUR EDITEUR MUSIQUE;378;1
POUR UNE AUTRE PAC;379;1
POUR UNE AUTRE PAC;380;1
CPME DE LA DROME;381;1
CPME DE LA DROME;382;1
CPME DE LA DROME;383;1
CPME DE LA DROME;384;1
FEDERATION DES PME ET PMI DE L'ESSONNE;385;1
FEDERATION DES PME ET PMI DE L'ESSONNE;386;1
FEDERATION DES PME ET PMI DE L'ESSONNE;387;1
FEDERATION DES PME ET PMI DE L'ESSONNE;388;1
FEDERATION DES PME ET PMI DE L'ESSONNE;389;1
FEDERATION DES PME ET PMI DE L'ESSONNE;390;1
FEDERATION DES PME ET PMI DE L'ESSONNE;391;1
GROUPEMENT DES PROFESSIONS DE SERVICES;392;0
COPPERNIC;393;0
COPPERNIC;394;0
BIOTECHNOLOGY INNOVATION ORGANIZATION;395;0
ALNYLAM FRANCE SAS;395;0
CTE NAT PECHES MARITIMES ELEVAGEMARINS;396;0
COPPERNIC;397;0
GIE AFER;398;0
ALNYLAM FRANCE SAS;399;0
CTE NAT PECHES MARITIMES ELEVAGEMARINS;400;0
AVRIL;401;0
INSTITUT PASTEUR;402;0
AVRIL;403;0
CLOVIS ONCOLOGY FRANCE;404;0
INSTITUT PASTEUR;405;0
SYQE Medical Ltd;406;0
CTE NAT PECHES MARITIMES ELEVAGEMARINS;407;0
INSTITUT PASTEUR;408;0
PROPLAST;409;0
GROUPEMENT DES PROFESSIONS DE SERVICES;410;0
AVRIL;411;0
AVRIL;412;0
UK FINANCE;413;0
FRANCE AVC 39, JURA;414;0
COPPERNIC;415;0
LIGUE FR CONTRE LA SCLEROSE EN PLAQUES;416;0
PHARMA LAB;417;0
EDWARDS LIFESCIENCES SAS;418;0
CTE NAT PECHES MARITIMES ELEVAGEMARINS;419;0
SIGIL;420;0
AVRIL;421;0
PENUMBRA EUROPE GMBH;422;0
FONTEM VENTURES;423;0
MERCK SANTE;424;0
UK FINANCE;425;0
CINOV FED SYND METIERS DE PRESTATION INTELLECT CONSEIL INGENIERIE ET NUMERIQUE;426;1
CINOV FED SYND METIERS DE PRESTATION INTELLECT CONSEIL INGENIERIE ET NUMERIQUE;427;1
CINOV FED SYND METIERS DE PRESTATION INTELLECT CONSEIL INGENIERIE ET NUMERIQUE;428;1
CINOV FED SYND METIERS DE PRESTATION INTELLECT CONSEIL INGENIERIE ET NUMERIQUE;429;1
SOCIETE DU GRAND PARIS;430;1
SOCIETE DU GRAND PARIS;431;1
SOCIETE DU GRAND PARIS;432;1
SOCIETE DU GRAND PARIS;433;1
AGIR POUR L'ENVIRONNEMENT;434;1
AGIR POUR L'ENVIRONNEMENT;435;1
AGIR POUR L'ENVIRONNEMENT;436;1
AGIR POUR L'ENVIRONNEMENT;437;1
AGIR POUR L'ENVIRONNEMENT;438;1
AGIR POUR L'ENVIRONNEMENT;439;1
FEDERATION FRANCAISE DES ENTREPRISES DE CRECHES;440;1
FEDERATION FRANCAISE DES ENTREPRISES DE CRECHES;441;1
FEDERATION FRANCAISE DES ENTREPRISES DE CRECHES;442;1
FEDERATION FRANCAISE DES ENTREPRISES DE CRECHES;443;1
FEDERATION FRANCAISE DES ENTREPRISES DE CRECHES;444;1
FEDERATION FRANCAISE DES ENTREPRISES DE CRECHES;445;1
FEDERATION FRANCAISE DES ENTREPRISES DE CRECHES;446;1
FEDERATION FRANCAISE DES ENTREPRISES DE CRECHES;447;1
FEDERATION FRANCAISE DES ENTREPRISES DE CRECHES;448;1
FEDERATION FRANCAISE DES ENTREPRISES DE CRECHES;449;1
FEDERATION FRANCAISE DES ENTREPRISES DE CRECHES;450;1
FEDERATION FRANCAISE DES ENTREPRISES DE CRECHES;451;1
FEDERATION FRANCAISE DES ENTREPRISES DE CRECHES;452;1
FEDERATION FRANCAISE DES ENTREPRISES DE CRECHES;453;1
CHAMBRE DE COMMERCE ET DE L'INDUSTRIE;454;1
CHAMBRE DE COMMERCE ET DE L'INDUSTRIE;455;1
CHAMBRE DE COMMERCE ET DE L'INDUSTRIE;456;1
CHAMBRE DE COMMERCE ET DE L'INDUSTRIE;457;1
CHAMBRE DE COMMERCE ET DE L'INDUSTRIE;458;1
CHAMBRE DE COMMERCE ET DE L'INDUSTRIE;459;1
F.N.A.R.;460;1
F.N.A.R.;461;1
STAFFME;462;0
STUART;463;0
SORAP;464;0
SYND NAT DES PRESTATAIRE DE SERVICE D'ACCUEIL ET SERVICE ANIMATION DE PROMOTION DES VENTES, D'OPTIMISATION DES LINEAIRES;464;0
STUART;465;0
UNION DES METIERS ET DES INDUSTRIES DE L'HOTELLERIE;466;0
STUART;467;0
STUART;468;0
SNAP GROUP SAS;469;0
JT INTERNATIONAL FRANCE;470;0
UNION FEDERALE DES OSTEOPATHES DE FRANCE;471;0
UNION FEDERALE DES OSTEOPATHES DE FRANCE;472;0
SNAP GROUP SAS;473;0
SNAP GROUP SAS;474;0
SNAP GROUP SAS;475;0
SNAP GROUP SAS;476;0
SNAP GROUP SAS;477;0
SNAP GROUP SAS;478;0
F N A I M;479;0
SNAP GROUP SAS;480;0
SNAP GROUP SAS;481;0
JT INTERNATIONAL FRANCE;482;0
F N A I M;483;0
SNAP GROUP SAS;484;0
F N A I M;485;0
SNAP GROUP SAS;486;0
SNAP GROUP SAS;487;0
F N A I M;488;0
F N A I M;489;0
F N A I M;490;0
F N A I M;491;0
F N A I M;492;0
F N A I M;493;0
F N A I M;494;0
ASSOCIATION DES BRASSEURS DE FRANCE;495;0
ASSOCIATION DES BRASSEURS DE FRANCE;496;0
ASSOCIATION DES BRASSEURS DE FRANCE;497;0
FED ENTREP BOULANGER PATISSER FRANCAISES;498;0
TEREOS;499;0
FED ENTREP BOULANGER PATISSER FRANCAISES;500;0
ASSOCIATION DES BRASSEURS DE FRANCE;501;0
SYNDICAT EDITEURS DES LOGICIELS LOISIRS;502;0
CARBONEX;503;0
TRAINLINE SAS;504;0
FEDERATION ENTERTAINMENT;505;0
GROUPE ELEPHANT;505;0
LAGARDERE STUDIOS;505;0
AB DROITS AUDIOVISUELS;505;0
GROUPE TROISIEME OEIL;505;0
GAUMONT;505;0
ASSOCIATION DE L'INDUSTRIE AUDIOVISUELLE INDEPENDANTE;505;0
YOYO;506;0
LYSPACKAGING;507;0
SYNDICAT EDITEURS DES LOGICIELS LOISIRS;508;0
TRAINLINE SAS;509;0
SYNDICAT EDITEURS DES LOGICIELS LOISIRS;510;0
ELIOR GROUP;511;0
HAPPYTAL;512;0
FEDER NAT GITES FRANCE;513;0
IFM Investors Pty Ltd;514;0
COMITE PROFESSIONNEL DE DEVELOPPEMENT DES INSDUSTRIES FRANCAISES DE L AMEUBLEMENT ET DU BOIS;515;0
Europcar Mobility Group;516;0
COMUTO;517;0
COMUTO;518;0
COMUTO;519;0
PFIZER;520;0
TECHNICOLOR;521;0
BOIRON;522;0
PFIZER;523;0
AXON ENTERPRISE INC.;524;0
NATIONAL STRATEGIES, LLC;524;0
PFIZER;525;0
AXON ENTERPRISE INC.;526;0
NATIONAL STRATEGIES, LLC;526;0
NOKIA FRANCE SA;527;0
PFIZER;528;0
VITIS;529;0
COMUTO;530;0
AXON ENTERPRISE INC.;531;0
AXON ENTERPRISE INC.;532;0
JT INTERNATIONAL FRANCE;533;0
AXON ENTERPRISE INC.;534;0
SYNDICAT EDITEURS DES LOGICIELS LOISIRS;535;0
CHAMBRE DE COMMERCE ET D INDUSTRIE DE REGION PAYS DE LA LOIRE;536;0
CONSERVATOIRE NATIONAL ARTS ET METIERS;537;0
ASSOCIATION DES JEUNES AVOCATS AUX CONSEILS (AJAC);538;0
F N A I M;539;0
ASS NATIONALE IND. AGRO ALIMENTAIRES;540;0
AXON ENTERPRISE INC.;541;0
CONSERVATOIRE NATIONAL ARTS ET METIERS;542;0
SOCIETE AIR FRANCE;543;0
FEDERATION ENTERTAINMENT;544;0
GROUPE ELEPHANT;544;0
LAGARDERE STUDIOS;544;0
AB DROITS AUDIOVISUELS;544;0
GROUPE TROISIEME OEIL;544;0
GAUMONT;544;0
ARAMIS;545;0
F N A I M;546;0
F N A I M;547;0
PFIZER;548;0
OMNICOM PUBLIC RELATIONS GROUP;549;0
MONSANTO;549;0
LE CERCLE DE L'INDUSTRIE;550;0
PARI MUTUEL URBAIN;551;0
F N A I M;552;0
F N A I M;553;0
FED ENTREP BOULANGER PATISSER FRANCAISES;554;0
F N A I M;555;0
F N A I M;556;0
F N A I M;557;0
F N A I M;558;0
FED ENTREP BOULANGER PATISSER FRANCAISES;559;0
F N A I M;560;0
NAKAMA;561;0
LE CERCLE DE L'INDUSTRIE;562;0
SYNDICAT EDITEURS DES LOGICIELS LOISIRS;563;0
OCEINDE;564;0
AUDACIA;565;0
SYNDICAT NATIONAL FABRIC SUCRE SNFS;566;0
TEREOS;566;0
TRAINLINE SAS;567;0
VITIS;568;0
SYNDICAT PROFESSIONNEL UNION DES PRESTATAIRES DE SANTE A DOMICILE INDEPENDANTS;569;0
EUTELSAT S.A.;570;0
SYNDICAT PROFESSIONNEL UNION DES PRESTATAIRES DE SANTE A DOMICILE INDEPENDANTS;571;0
EUTELSAT S.A.;572;0
TRAINLINE SAS;573;0
EUTELSAT S.A.;574;0
NAKAMA;575;0
UNION FEDERALE DES OSTEOPATHES DE FRANCE;576;0
TECHNICOLOR;577;0
UNION FEDERALE DES OSTEOPATHES DE FRANCE;578;0
EURO-INFORMATION TELECOM;579;0
TRUSTBK;580;0
SYNDICAT DES REGIES INTERNET;581;0
JT INTERNATIONAL FRANCE;582;0
LE CERCLE DE L'INDUSTRIE;583;0
LE CERCLE DE L'INDUSTRIE;584;0
EURO-INFORMATION TELECOM;585;0
AUDACIA;586;0
PARI MUTUEL URBAIN;587;0
ASSOCIATION DES JEUNES AVOCATS AUX CONSEILS (AJAC);588;0
UNION FEDERALE DES OSTEOPATHES DE FRANCE;589;0
SOCIETE AIR FRANCE;590;0
LE CERCLE DE L'INDUSTRIE;591;0
LE CERCLE DE L'INDUSTRIE;592;0
SYNDICAT EDITEURS DES LOGICIELS LOISIRS;593;0
FED ENTREP BOULANGER PATISSER FRANCAISES;594;0
LE CERCLE DE L'INDUSTRIE;595;0
TECHNICOLOR;596;0
LE CERCLE DE L'INDUSTRIE;597;0
PARI MUTUEL URBAIN;598;0
EUTELSAT S.A.;599;0
SYNDICAT DES REGIES INTERNET;600;0
SYNDICAT PROFESSIONNEL UNION DES PRESTATAIRES DE SANTE A DOMICILE INDEPENDANTS;601;0
SYNDICAT PROFESSIONNEL UNION DES PRESTATAIRES DE SANTE A DOMICILE INDEPENDANTS;602;0
FEDERATION ENTERTAINMENT;603;0
GROUPE ELEPHANT;603;0
LAGARDERE STUDIOS;603;0
AB DROITS AUDIOVISUELS;603;0
