annee,groupe,sanction,sexe,nombre,motif,type_sanction,source,conseil_discpline
1993,4,Révocation ,,55,,,journal officiel du Sénat du 12 octobre 2000,
1994,1,Avertissement ,,1049,,,journal officiel du Sénat du 12 octobre 2000,
1994,1,Blâme,,1179,,,journal officiel du Sénat du 12 octobre 2000,
1994,2,Radiation du tableau d'avancement,,0,,,journal officiel du Sénat du 12 octobre 2000,
1994,2,Abaissement d'échelon,,26,,,journal officiel du Sénat du 12 octobre 2000,
1994,2,ETF jusqu'à 15 jours,,154,,,journal officiel du Sénat du 12 octobre 2000,
1994,2,Déplacement d'office,,66,,,journal officiel du Sénat du 12 octobre 2000,
1994,3,Rétrogradation,,3,,,journal officiel du Sénat du 12 octobre 2000,
1994,3,ETF de 3 mois à 2 ans,,143,,,journal officiel du Sénat du 12 octobre 2000,
1994,4,Retraite d'office,,35,,,journal officiel du Sénat du 12 octobre 2000,
1994,4,Révocation ,,102,,,journal officiel du Sénat du 12 octobre 2000,
1995,1,Avertissement ,,878,,,journal officiel du Sénat du 12 octobre 2000,
1995,1,Blâme,,1187,,,journal officiel du Sénat du 12 octobre 2000,
1995,2,Radiation du tableau d'avancement,,0,,,journal officiel du Sénat du 12 octobre 2000,
1995,2,Abaissement d'échelon,,25,,,journal officiel du Sénat du 12 octobre 2000,
1995,2,ETF jusqu'à 15 jours,,161,,,journal officiel du Sénat du 12 octobre 2000,
1995,2,Déplacement d'office,,67,,,journal officiel du Sénat du 12 octobre 2000,
1995,3,Rétrogradation,,5,,,journal officiel du Sénat du 12 octobre 2000,
1995,3,ETF de 3 mois à 2 ans,,135,,,journal officiel du Sénat du 12 octobre 2000,
1995,4,Retraite d'office,,17,,,journal officiel du Sénat du 12 octobre 2000,
1995,4,Révocation ,,96,,,journal officiel du Sénat du 12 octobre 2000,
1996,1,Avertissement ,,904,,,journal officiel du Sénat du 12 octobre 2000,
1996,1,Blâme,,1164,,,journal officiel du Sénat du 12 octobre 2000,
1996,2,Radiation du tableau d'avancement,,0,,,journal officiel du Sénat du 12 octobre 2000,
1996,2,Abaissement d'échelon,,14,,,journal officiel du Sénat du 12 octobre 2000,
1996,2,ETF jusqu'à 15 jours,,162,,,journal officiel du Sénat du 12 octobre 2000,
1996,2,Déplacement d'office,,32,,,journal officiel du Sénat du 12 octobre 2000,
1996,3,Rétrogradation,,7,,,journal officiel du Sénat du 12 octobre 2000,
1996,3,ETF de 3 mois à 2 ans,,137,,,journal officiel du Sénat du 12 octobre 2000,
1996,4,Retraite d'office,,15,,,journal officiel du Sénat du 12 octobre 2000,
1996,4,Révocation ,,75,,,journal officiel du Sénat du 12 octobre 2000,
1997,1,Avertissement ,,989,,,journal officiel du Sénat du 12 octobre 2000,
1997,1,Blâme,,1093,,,journal officiel du Sénat du 12 octobre 2000,
1997,2,Radiation du tableau d'avancement,,0,,,journal officiel du Sénat du 12 octobre 2000,
1997,2,Abaissement d'échelon,,5,,,journal officiel du Sénat du 12 octobre 2000,
1997,2,ETF jusqu'à 15 jours,,257,,,journal officiel du Sénat du 12 octobre 2000,
1997,2,Déplacement d'office,,28,,,journal officiel du Sénat du 12 octobre 2000,
1997,3,Rétrogradation,,6,,,journal officiel du Sénat du 12 octobre 2000,
1997,3,ETF de 3 mois à 2 ans,,148,,,journal officiel du Sénat du 12 octobre 2000,
1997,4,Retraite d'office,,18,,,journal officiel du Sénat du 12 octobre 2000,
1997,4,Révocation ,,88,,,journal officiel du Sénat du 12 octobre 2000,
1998,1,Avertissement ,,906,,,journal officiel du Sénat du 12 octobre 2000,
1998,1,Blâme,,1011,,,journal officiel du Sénat du 12 octobre 2000,
1998,2,Radiation du tableau d'avancement,,0,,,journal officiel du Sénat du 12 octobre 2000,
1998,2,Abaissement d'échelon,,4,,,journal officiel du Sénat du 12 octobre 2000,
1998,2,ETF jusqu'à 15 jours,,163,,,journal officiel du Sénat du 12 octobre 2000,
1998,2,Déplacement d'office,,25,,,journal officiel du Sénat du 12 octobre 2000,
1998,3,Rétrogradation,,6,,,journal officiel du Sénat du 12 octobre 2000,
1998,3,ETF de 3 mois à 2 ans,,115,,,journal officiel du Sénat du 12 octobre 2000,
1998,4,Retraite d'office,,17,,,journal officiel du Sénat du 12 octobre 2000,
1998,4,Révocation ,,73,,,journal officiel du Sénat du 12 octobre 2000,
1999,1,Avertissement ,,797,,,journal officiel du Sénat du 12 octobre 2000,
1999,1,Blâme,,876,,,journal officiel du Sénat du 12 octobre 2000,
1999,2,Radiation du tableau d'avancement,,0,,,journal officiel du Sénat du 12 octobre 2000,
1999,2,Abaissement d'échelon,,5,,,journal officiel du Sénat du 12 octobre 2000,
1999,2,ETF jusqu'à 15 jours,,162,,,journal officiel du Sénat du 12 octobre 2000,
1999,2,Déplacement d'office,,25,,,journal officiel du Sénat du 12 octobre 2000,
1999,3,Rétrogradation,,6,,,journal officiel du Sénat du 12 octobre 2000,
1999,3,ETF de 3 mois à 2 ans,,146,,,journal officiel du Sénat du 12 octobre 2000,
1999,4,Retraite d'office,,25,,,journal officiel du Sénat du 12 octobre 2000,
1999,4,Révocation ,,79,,,journal officiel du Sénat du 12 octobre 2000,
2004,1,Avertissement,,1018,,,Bilan social 2009,
2004,1,Blâme,,1009,,,Bilan social 2009,
2004,2,Radiation du tableau d'avancement,,0,,,Bilan social 2009,
2004,2,Abaissement d'échelon,,4,,,Bilan social 2009,
2004,2,ETF jusqu'à 15 jours,,166,,,Bilan social 2009,
2004,2,Déplacement d'office,,40,,,Bilan social 2009,
2004,3,Rétrogradation,,8,,,Bilan social 2009,
2004,3,ETF de 3 mois à 2 ans,,161,,,Bilan social 2009,
2004,4,Retraite d'office,,23,,,Bilan social 2009,
2004,4,Révocation,,134,,,Bilan social 2009,
2005,1,Avertissement,,1236,,,Bilan social 2009,
2005,1,Blâme,,1195,,,Bilan social 2009,
2005,2,Radiation du tableau d'avancement,,0,,,Bilan social 2009,
2005,2,Abaissement d'échelon,,7,,,Bilan social 2009,
2005,2,ETF jusqu'à 15 jours,,178,,,Bilan social 2009,
2005,2,Déplacement d'office,,24,,,Bilan social 2009,
2005,3,Rétrogradation,,6,,,Bilan social 2009,
2005,3,ETF de 3 mois à 2 ans,,143,,,Bilan social 2009,
2005,4,Retraite d'office,,24,,,Bilan social 2009,
2005,4,Révocation,,123,,,Bilan social 2009,
2006,1,Avertissement,,1485,,,Bilan social 2009,
2006,1,Blâme,,1244,,,Bilan social 2009,
2006,2,Radiation du tableau d'avancement,,0,,,Bilan social 2009,
2006,2,Abaissement d'échelon,,4,,,Bilan social 2009,
2006,2,ETF jusqu'à 15 jours,,195,,,Bilan social 2009,
2006,2,Déplacement d'office,,24,,,Bilan social 2009,
2006,3,Rétrogradation,,10,,,Bilan social 2009,
2006,3,ETF de 3 mois à 2 ans,,135,,,Bilan social 2009,
2006,4,Retraite d'office,,22,,,Bilan social 2009,
2006,4,Révocation,,109,,,Bilan social 2009,
2007,1,Avertissement,,1458,,,Bilan social 2009,
2007,1,Blâme,,1316,,,Bilan social 2009,
2007,2,Radiation du tableau d'avancement,,0,,,Bilan social 2009,
2007,2,Abaissement d'échelon,,10,,,Bilan social 2009,
2007,2,ETF jusqu'à 15 jours,,201,,,Bilan social 2009,
2007,2,Déplacement d'office,,40,,,Bilan social 2009,
2007,3,Rétrogradation,,7,,,Bilan social 2009,
2007,3,ETF de 3 mois à 2 ans,,158,,,Bilan social 2009,
2007,4,Retraite d'office,,20,,,Bilan social 2009,
2007,4,Révocation,,108,,,Bilan social 2009,
2008,1,Avertissement,,1535,,,Bilan social 2009,
2008,1,Blâme,,1385,,,Bilan social 2009,
2008,2,Radiation du tableau d'avancement,,0,,,Bilan social 2009,
2008,2,Abaissement d'échelon,,10,,,Bilan social 2009,
2008,2,ETF jusqu'à 15 jours,,204,,,Bilan social 2009,
2008,2,Déplacement d'office,,25,,,Bilan social 2009,
2008,3,Rétrogradation,,9,,,Bilan social 2009,
2008,3,ETF de 3 mois à 2 ans,,134,,,Bilan social 2009,
2008,4,Retraite d'office,,23,,,Bilan social 2009,
2008,4,Révocation,,98,,,Bilan social 2009,
2009,1,Avertissement,,1348,Fautes professionnelles et indisciplines,,Bilan social 2009,
2009,1,Avertissement,,16,Intempérance,,Bilan social 2009,
2009,1,Avertissement,,35,Comportements privés critiquables,,Bilan social 2009,
2009,1,Avertissement,,26,Violences,,Bilan social 2009,
2009,1,Avertissement,,4,Manquement à la probité,,Bilan social 2009,
2009,1,Avertissement,,1,Atteintes aux moeurs,,Bilan social 2009,
2009,1,Blâme,,961,Fautes professionnelles et indisciplines,,Bilan social 2009,
2009,1,Blâme,,104,Intempérance,,Bilan social 2009,
2009,1,Blâme,,94,Comportements privés critiquables,,Bilan social 2009,
2009,1,Blâme,,47,Violences,,Bilan social 2009,
2009,1,Blâme,,10,Manquement à la probité,,Bilan social 2009,
2009,1,Blâme,,1,Atteintes aux moeurs,,Bilan social 2009,
2009,2,Radiation du tableau d'avancement,,0,Fautes professionnelles et indisciplines,,Bilan social 2009,
2009,2,Radiation du tableau d'avancement,,0,Intempérance,,Bilan social 2009,
2009,2,Radiation du tableau d'avancement,,0,Comportements privés critiquables,,Bilan social 2009,
2009,2,Radiation du tableau d'avancement,,0,Violences,,Bilan social 2009,
2009,2,Radiation du tableau d'avancement,,0,Manquement à la probité,,Bilan social 2009,
2009,2,Radiation du tableau d'avancement,,0,Atteintes aux moeurs,,Bilan social 2009,
2009,2,Abaissement d'échelon,*,4,Fautes professionnelles et indisciplines,,Bilan social 2009,
2009,2,Abaissement d'échelon,,3,Intempérance,,Bilan social 2009,
2009,2,Abaissement d'échelon,,0,Comportements privés critiquables,,Bilan social 2009,
2009,2,Abaissement d'échelon,,0,Violences,,Bilan social 2009,
2009,2,Abaissement d'échelon,,0,Manquement à la probité,,Bilan social 2009,
2009,2,Abaissement d'échelon,,0,Atteintes aux moeurs,,Bilan social 2009,
2009,2,ETF jusqu'à 15 jours,,69,Fautes professionnelles et indisciplines,,Bilan social 2009,
2009,2,ETF jusqu'à 15 jours,,45,Intempérance,,Bilan social 2009,
2009,2,ETF jusqu'à 15 jours,,30,Comportements privés critiquables,,Bilan social 2009,
2009,2,ETF jusqu'à 15 jours,,27,Violences,,Bilan social 2009,
2009,2,ETF jusqu'à 15 jours,,14,Manquement à la probité,,Bilan social 2009,
2009,2,ETF jusqu'à 15 jours,,1,Atteintes aux moeurs,,Bilan social 2009,
2009,2,Déplacement d'office,,12,Fautes professionnelles et indisciplines,,Bilan social 2009,
2009,2,Déplacement d'office,,7,Intempérance,,Bilan social 2009,
2009,2,Déplacement d'office,,4,Comportements privés critiquables,,Bilan social 2009,
2009,2,Déplacement d'office,,2,Violences,,Bilan social 2009,
2009,2,Déplacement d'office,,1,Manquement à la probité,,Bilan social 2009,
2009,2,Déplacement d'office,,1,Atteintes aux moeurs,,Bilan social 2009,
2009,3,Rétrogradation,,1,Fautes professionnelles et indisciplines,,Bilan social 2009,
2009,3,Rétrogradation,,1,Intempérance,,Bilan social 2009,
2009,3,Rétrogradation,,0,Comportements privés critiquables,,Bilan social 2009,
2009,3,Rétrogradation,,1,Violences,,Bilan social 2009,
2009,3,Rétrogradation,,0,Manquement à la probité,,Bilan social 2009,
2009,3,Rétrogradation,,0,Atteintes aux moeurs,,Bilan social 2009,
2009,3,ETF jusqu'à 2 ans,,47,Fautes professionnelles et indisciplines,,Bilan social 2009,
2009,3,ETF jusqu'à 2 ans,,32,Intempérance,,Bilan social 2009,
2009,3,ETF jusqu'à 2 ans,,18,Comportements privés critiquables,,Bilan social 2009,
2009,3,ETF jusqu'à 2 ans,,18,Violences,,Bilan social 2009,
2009,3,ETF jusqu'à 2 ans,,21,Manquement à la probité,,Bilan social 2009,
2009,3,ETF jusqu'à 2 ans,,7,Atteintes aux moeurs,,Bilan social 2009,
2009,4,Retraite d'office,,2,Fautes professionnelles et indisciplines,,Bilan social 2009,
2009,4,Retraite d'office,,4,Intempérance,,Bilan social 2009,
2009,4,Retraite d'office,,6,Comportements privés critiquables,,Bilan social 2009,
2009,4,Retraite d'office,,0,Violences,,Bilan social 2009,
2009,4,Retraite d'office,,6,Manquement à la probité,,Bilan social 2009,
2009,4,Retraite d'office,,1,Atteintes aux moeurs,,Bilan social 2009,
2009,4,Révocation,,8,Fautes professionnelles et indisciplines,,Bilan social 2009,
2009,4,Révocation,,5,Intempérance,,Bilan social 2009,
2009,4,Révocation,,25,Comportements privés critiquables,,Bilan social 2009,
2009,4,Révocation,,7,Violences,,Bilan social 2009,
2009,4,Révocation,,30,Manquement à la probité,,Bilan social 2009,
2009,4,Révocation,,4,Atteintes aux moeurs,,Bilan social 2009,
2010,1,Avertissement,,1203,,,Bilan social 2010,
2010,1,Blâme,,1109,,,Bilan social 2010,
2010,2,Radiation du tableau d'avancement,,0,,,Bilan social 2010,
2010,2,Abaissement d'échelon,,7,,,Bilan social 2010,
2010,2,ETF jusqu'à 15 jours,,167,,,Bilan social 2010,
2010,2,Déplacement d'office,,26,,,Bilan social 2010,
2010,3,Rétrogradation,,4,,,Bilan social 2010,
2010,3,ETF de 3 mois à 2 ans,,105,,,Bilan social 2010,
2010,4,Retraite d'office,,19,,,Bilan social 2010,
2010,4,Révocation,,58,,,Bilan social 2010,
2011,1,Avertissement,H,1090,Fautes professionnelles et indisciplines,,Bilan social 2011,
2011,1,Avertissement,F,177,Fautes professionnelles et indisciplines,,Bilan social 2011,
2011,1,Avertissement,H,21,Intempérance,,Bilan social 2011,
2011,1,Avertissement,F,0,Intempérance,,Bilan social 2011,
2011,1,Avertissement,H,48,Comportements privés critiquables,,Bilan social 2011,
2011,1,Avertissement,F,5,Comportements privés critiquables,,Bilan social 2011,
2011,1,Avertissement,H,31,Violences,,Bilan social 2011,
2011,1,Avertissement,F,0,Violences,,Bilan social 2011,
2011,1,Avertissement,H,5,Manquement à la probité,,Bilan social 2011,
2011,1,Avertissement,F,1,Manquement à la probité,,Bilan social 2011,
2011,1,Avertissement,H,0,Atteintes aux moeurs,,Bilan social 2011,
2011,1,Avertissement,F,0,Atteintes aux moeurs,,Bilan social 2011,
2011,1,Blâme,H,799,Fautes professionnelles et indisciplines,,Bilan social 2011,
2011,1,Blâme,F,126,Fautes professionnelles et indisciplines,,Bilan social 2011,
2011,1,Blâme,H,90,Intempérance,,Bilan social 2011,
2011,1,Blâme,F,5,Intempérance,,Bilan social 2011,
2011,1,Blâme,H,81,Comportements privés critiquables,,Bilan social 2011,
2011,1,Blâme,F,5,Comportements privés critiquables,,Bilan social 2011,
2011,1,Blâme,H,41,Violences,,Bilan social 2011,
2011,1,Blâme,F,2,Violences,,Bilan social 2011,
2011,1,Blâme,H,9,Manquement à la probité,,Bilan social 2011,
2011,1,Blâme,F,1,Manquement à la probité,,Bilan social 2011,
2011,1,Blâme,H,0,Atteintes aux moeurs,,Bilan social 2011,
2011,1,Blâme,F,0,Atteintes aux moeurs,,Bilan social 2011,
2011,1,Radiation du tableau d'avancement,H,1,Fautes professionnelles et indisciplines,,Bilan social 2011,
2011,2,Radiation du tableau d'avancement,F,0,Fautes professionnelles et indisciplines,,Bilan social 2011,
2011,2,Radiation du tableau d'avancement,H,1,Intempérance,,Bilan social 2011,
2011,2,Radiation du tableau d'avancement,F,0,Intempérance,,Bilan social 2011,
2011,2,Radiation du tableau d'avancement,H,0,Comportements privés critiquables,,Bilan social 2011,
2011,2,Radiation du tableau d'avancement,F,0,Comportements privés critiquables,,Bilan social 2011,
2011,2,Radiation du tableau d'avancement,H,0,Violences,,Bilan social 2011,
2011,2,Radiation du tableau d'avancement,F,0,Violences,,Bilan social 2011,
2011,2,Radiation du tableau d'avancement,H,0,Manquement à la probité,,Bilan social 2011,
2011,2,Radiation du tableau d'avancement,F,0,Manquement à la probité,,Bilan social 2011,
2011,2,Radiation du tableau d'avancement,H,0,Atteintes aux moeurs,,Bilan social 2011,
2011,2,Radiation du tableau d'avancement,F,0,Atteintes aux moeurs,,Bilan social 2011,
2011,2,Abaissement d'échelon,H,3,Fautes professionnelles et indisciplines,,Bilan social 2011,
2011,2,Abaissement d'échelon,F,0,Fautes professionnelles et indisciplines,,Bilan social 2011,
2011,2,Abaissement d'échelon,H,3,Intempérance,,Bilan social 2011,
2011,2,Abaissement d'échelon,F,0,Intempérance,,Bilan social 2011,
2011,2,Abaissement d'échelon,H,1,Comportements privés critiquables,,Bilan social 2011,
2011,2,Abaissement d'échelon,F,0,Comportements privés critiquables,,Bilan social 2011,
2011,2,Abaissement d'échelon,H,0,Violences,,Bilan social 2011,
2011,2,Abaissement d'échelon,F,0,Violences,,Bilan social 2011,
2011,2,Abaissement d'échelon,H,0,Manquement à la probité,,Bilan social 2011,
2011,2,Abaissement d'échelon,F,0,Manquement à la probité,,Bilan social 2011,
2011,2,Abaissement d'échelon,H,0,Atteintes aux moeurs,,Bilan social 2011,
2011,2,Abaissement d'échelon,F,0,Atteintes aux moeurs,,Bilan social 2011,
2011,2,ETF jusqu'à 15 jours,H,60,Fautes professionnelles et indisciplines,,Bilan social 2011,
2011,2,ETF jusqu'à 15 jours,F,11,Fautes professionnelles et indisciplines,,Bilan social 2011,
2011,2,ETF jusqu'à 15 jours,H,38,Intempérance,,Bilan social 2011,
2011,2,ETF jusqu'à 15 jours,F,0,Intempérance,,Bilan social 2011,
2011,2,ETF jusqu'à 15 jours,H,10,Comportements privés critiquables,,Bilan social 2011,
2011,2,ETF jusqu'à 15 jours,F,1,Comportements privés critiquables,,Bilan social 2011,
2011,2,ETF jusqu'à 15 jours,H,21,Violences,,Bilan social 2011,
2011,2,ETF jusqu'à 15 jours,F,0,Violences,,Bilan social 2011,
2011,2,ETF jusqu'à 15 jours,H,17,Manquement à la probité,,Bilan social 2011,
2011,2,ETF jusqu'à 15 jours,F,3,Manquement à la probité,,Bilan social 2011,
2011,2,ETF jusqu'à 15 jours,H,0,Atteintes aux moeurs,,Bilan social 2011,
2011,2,ETF jusqu'à 15 jours,F,0,Atteintes aux moeurs,,Bilan social 2011,
2011,2,Déplacement d'office,H,18,Fautes professionnelles et indisciplines,,Bilan social 2011,
2011,2,Déplacement d'office,F,1,Fautes professionnelles et indisciplines,,Bilan social 2011,
2011,2,Déplacement d'office,H,1,Intempérance,,Bilan social 2011,
2011,2,Déplacement d'office,F,0,Intempérance,,Bilan social 2011,
2011,2,Déplacement d'office,H,1,Comportements privés critiquables,,Bilan social 2011,
2011,2,Déplacement d'office,F,0,Comportements privés critiquables,,Bilan social 2011,
2011,2,Déplacement d'office,H,1,Violences,,Bilan social 2011,
2011,2,Déplacement d'office,F,1,Violences,,Bilan social 2011,
2011,2,Déplacement d'office,H,4,Manquement à la probité,,Bilan social 2011,
2011,2,Déplacement d'office,F,0,Manquement à la probité,,Bilan social 2011,
2011,2,Déplacement d'office,H,0,Atteintes aux moeurs,,Bilan social 2011,
2011,2,Déplacement d'office,F,0,Atteintes aux moeurs,,Bilan social 2011,
2011,3,ETF jusqu'à 2 ans,H,28,Fautes professionnelles et indisciplines,,Bilan social 2011,
2011,3,ETF jusqu'à 2 ans,F,4,Fautes professionnelles et indisciplines,,Bilan social 2011,
2011,3,ETF jusqu'à 2 ans,H,29,Intempérance,,Bilan social 2011,
2011,3,ETF jusqu'à 2 ans,F,0,Intempérance,,Bilan social 2011,
2011,3,ETF jusqu'à 2 ans,H,15,Comportements privés critiquables,,Bilan social 2011,
2011,3,ETF jusqu'à 2 ans,F,2,Comportements privés critiquables,,Bilan social 2011,
2011,3,ETF jusqu'à 2 ans,H,21,Violences,,Bilan social 2011,
2011,3,ETF jusqu'à 2 ans,F,1,Violences,,Bilan social 2011,
2011,3,ETF jusqu'à 2 ans,H,23,Manquement à la probité,,Bilan social 2011,
2011,3,ETF jusqu'à 2 ans,F,7,Manquement à la probité,,Bilan social 2011,
2011,3,ETF jusqu'à 2 ans,H,1,Atteintes aux moeurs,,Bilan social 2011,
2011,3,ETF jusqu'à 2 ans,F,0,Atteintes aux moeurs,,Bilan social 2011,
2011,3,Rétrogradation,H,0,Fautes professionnelles et indisciplines,,Bilan social 2011,
2011,3,Rétrogradation,F,0,Fautes professionnelles et indisciplines,,Bilan social 2011,
2011,3,Rétrogradation,H,2,Intempérance,,Bilan social 2011,
2011,3,Rétrogradation,F,0,Intempérance,,Bilan social 2011,
2011,3,Rétrogradation,H,0,Comportements privés critiquables,,Bilan social 2011,
2011,3,Rétrogradation,F,0,Comportements privés critiquables,,Bilan social 2011,
2011,3,Rétrogradation,H,0,Violences,,Bilan social 2011,
2011,3,Rétrogradation,F,0,Violences,,Bilan social 2011,
2011,3,Rétrogradation,H,1,Manquement à la probité,,Bilan social 2011,
2011,3,Rétrogradation,F,0,Manquement à la probité,,Bilan social 2011,
2011,3,Rétrogradation,H,0,Atteintes aux moeurs,,Bilan social 2011,
2011,3,Rétrogradation,F,0,Atteintes aux moeurs,,Bilan social 2011,
2011,4,Retraite d'office,H,3,Fautes professionnelles et indisciplines,,Bilan social 2011,
2011,4,Retraite d'office,F,0,Fautes professionnelles et indisciplines,,Bilan social 2011,
2011,4,Retraite d'office,H,2,Intempérance,,Bilan social 2011,
2011,4,Retraite d'office,F,1,Intempérance,,Bilan social 2011,
2011,4,Retraite d'office,H,0,Comportements privés critiquables,,Bilan social 2011,
2011,4,Retraite d'office,F,0,Comportements privés critiquables,,Bilan social 2011,
2011,4,Retraite d'office,H,2,Violences,,Bilan social 2011,
2011,4,Retraite d'office,F,0,Violences,,Bilan social 2011,
2011,4,Retraite d'office,H,6,Manquement à la probité,,Bilan social 2011,
2011,4,Retraite d'office,F,1,Manquement à la probité,,Bilan social 2011,
2011,4,Retraite d'office,H,0,Atteintes aux moeurs,,Bilan social 2011,
2011,4,Retraite d'office,F,0,Atteintes aux moeurs,,Bilan social 2011,
2011,4,Révocation,H,10,Fautes professionnelles et indisciplines,,Bilan social 2011,
2011,4,Révocation,F,0,Fautes professionnelles et indisciplines,,Bilan social 2011,
2011,4,Révocation,H,4,Intempérance,,Bilan social 2011,
2011,4,Révocation,F,0,Intempérance,,Bilan social 2011,
2011,4,Révocation,H,16,Comportements privés critiquables,,Bilan social 2011,
2011,4,Révocation,F,0,Comportements privés critiquables,,Bilan social 2011,
2011,4,Révocation,H,11,Violences,,Bilan social 2011,
2011,4,Révocation,F,0,Violences,,Bilan social 2011,
2011,4,Révocation,H,31,Manquement à la probité,,Bilan social 2011,
2011,4,Révocation,F,4,Manquement à la probité,,Bilan social 2011,
2011,4,Révocation,H,10,Atteintes aux moeurs,,Bilan social 2011,
2011,4,Révocation,F,0,Atteintes aux moeurs,,Bilan social 2011,
2012,1,Avertissement,H,1022,Fautes professionnelles et indisciplines,,Bilan social 2012,
2012,1,Avertissement,F,169,Fautes professionnelles et indisciplines,,Bilan social 2012,
2012,1,Avertissement,H,18,Intempérance,,Bilan social 2012,
2012,1,Avertissement,F,2,Intempérance,,Bilan social 2012,
2012,1,Avertissement,H,36,Comportements privés critiquables,,Bilan social 2012,
2012,1,Avertissement,F,5,Comportements privés critiquables,,Bilan social 2012,
2012,1,Avertissement,H,21,Violences,,Bilan social 2012,
2012,1,Avertissement,F,2,Violences,,Bilan social 2012,
2012,1,Avertissement,H,4,Manquement à la probité,,Bilan social 2012,
2012,1,Avertissement,F,0,Manquement à la probité,,Bilan social 2012,
2012,1,Avertissement,H,0,Atteintes aux moeurs,,Bilan social 2012,
2012,1,Avertissement,F,0,Atteintes aux moeurs,,Bilan social 2012,
2012,1,Blâme,H,705,Fautes professionnelles et indisciplines,,Bilan social 2012,
2012,1,Blâme,F,93,Fautes professionnelles et indisciplines,,Bilan social 2012,
2012,1,Blâme,H,49,Intempérance,,Bilan social 2012,
2012,1,Blâme,F,3,Intempérance,,Bilan social 2012,
2012,1,Blâme,H,50,Comportements privés critiquables,,Bilan social 2012,
2012,1,Blâme,F,2,Comportements privés critiquables,,Bilan social 2012,
2012,1,Blâme,H,43,Violences,,Bilan social 2012,
2012,1,Blâme,F,1,Violences,,Bilan social 2012,
2012,1,Blâme,H,4,Manquement à la probité,,Bilan social 2012,
2012,1,Blâme,F,1,Manquement à la probité,,Bilan social 2012,
2012,1,Blâme,H,0,Atteintes aux moeurs,,Bilan social 2012,
2012,1,Blâme,F,0,Atteintes aux moeurs,,Bilan social 2012,
2012,2,Radiation du tableau d'avancement,H,0,Fautes professionnelles et indisciplines,,Bilan social 2012,
2012,2,Radiation du tableau d'avancement,F,0,Fautes professionnelles et indisciplines,,Bilan social 2012,
